gene_id	isoform	gameto_2	gameto_4	gameto_6	sporo_1	sporo_3	sporo_5
comp103011_c0	seq1.p1	1	0	3	3	3	3
comp103012_c0	seq1.p1	1	0	1	5	2	10
comp103025_c0	seq1.p1	0	2	2	2	2	0
comp103034_c0	seq1.p1	283	285	200	389	269	422
comp103040_c0	seq1.p1	0	0	0	5	7	4
comp10304_c0	seq1.p1	0	0	0	0	10	0
comp10304_c0	seq2.p1	0	0	0	0	10	0
comp103059_c0	seq1.p1	0	3	2	0	26	0
comp103059_c0	seq2.p1	3	4	5	0	4	0
comp103065_c0	seq1.p1	482	368	549	889	1226	845
comp10306_c1	seq1.p1	0	1	11	0	0	0
comp103070_c0	seq1.p1	1	0	2	1	4	6
comp10307_c0	seq1.p1	3	0	3	0	3	2
